gesture,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
open_hand,451.6217041015625,1080.0,579.5147094726562,996.5429077148438,631.8218994140625,854.6806640625,644.6603393554688,759.1287231445312,670.5222778320312,665.722412109375,504.7098388671875,717.23388671875,497.7237854003906,566.3436889648438,509.17926025390625,564.3244018554688,521.3322143554688,551.9551391601562,407.2312316894531,726.5755615234375,385.0400390625,555.7928466796875,401.4302673339844,555.4966430664062,413.5660400390625,557.973876953125,324.6345520019531,764.263427734375,288.1767883300781,597.2979125976562,308.1676025390625,610.4065551757812,314.1927795410156,611.4488525390625,238.0305633544922,807.2069091796875,200.06918334960938,690.1329956054688,210.9924774169922,684.840087890625,217.94139099121094,683.1283569335938
open_hand,556.2053833007812,914.2406616210938,650.4804077148438,860.2736206054688,702.7836303710938,750.6844482421875,728.1007690429688,645.7951049804688,755.0718383789062,565.6754150390625,632.565673828125,625.3512573242188,643.1281127929688,501.0222473144531,659.7135620117188,430.0981140136719,668.8709106445312,370.80029296875,557.7229614257812,622.2462768554688,564.1434326171875,483.53082275390625,579.6249389648438,403.13543701171875,586.5458374023438,331.1632995605469,490.0221252441406,637.458984375,484.9156494140625,512.0488891601562,494.5362243652344,436.7641296386719,502.18994140625,367.4482727050781,421.5059509277344,682.3717041015625,390.90472412109375,583.5758666992188,384.45440673828125,520.1517944335938,380.1069030761719,460.6221618652344
open_hand,611.3748168945312,811.2687377929688,701.89892578125,770.349609375,754.1295776367188,671.9649047851562,776.0680541992188,574.1778564453125,799.7606201171875,501.2479248046875,689.7501831054688,549.5240478515625,703.2410888671875,439.4501037597656,718.153564453125,376.13800048828125,724.2301025390625,318.26336669921875,621.7215576171875,542.9763793945312,629.03564453125,419.0281677246094,641.1340942382812,347.6988830566406,648.898681640625,280.6240539550781,560.0496826171875,555.4929809570312,554.0833129882812,441.3643798828125,565.2081298828125,374.8465881347656,573.8615112304688,311.1215515136719,494.4814758300781,590.7478637695312,471.4772644042969,502.9940185546875,468.1043701171875,446.3324890136719,467.24359130859375,391.2530212402344
open_hand,642.4743041992188,774.123779296875,730.20263671875,734.871826171875,784.521240234375,641.5696411132812,805.8530883789062,549.331787109375,830.42236328125,484.7149658203125,730.2662353515625,524.7561645507812,745.6299438476562,418.37255859375,763.2631225585938,356.22747802734375,772.4013061523438,302.262939453125,663.7205810546875,514.11328125,671.6234130859375,397.3092041015625,687.5582885742188,329.9554138183594,695.2380981445312,266.8158874511719,600.667236328125,523.942626953125,599.9488525390625,415.2911682128906,612.5067138671875,349.3630676269531,622.3392333984375,288.8743896484375,538.8975830078125,552.7481689453125,519.9473876953125,465.3026123046875,517.985107421875,409.6034851074219,518.2944946289062,357.25701904296875
open_hand,659.3612060546875,759.4900512695312,748.4615478515625,719.75439453125,802.75732421875,627.9912109375,828.4083251953125,540.6138305664062,857.0147705078125,476.49041748046875,744.9624633789062,504.9626159667969,758.0651245117188,404.556884765625,767.8685913085938,346.5233459472656,771.1417236328125,296.6741027832031,683.9448852539062,496.3102111816406,688.3888549804688,388.47357177734375,698.8114013671875,322.8181457519531,702.9354248046875,264.1473693847656,620.1566772460938,510.3582458496094,620.1298828125,404.55560302734375,630.8536987304688,343.2165832519531,636.2982177734375,286.55377197265625,562.2298583984375,539.052490234375,546.275146484375,456.91717529296875,541.2275390625,407.0006103515625,538.4116821289062,357.75177001953125
open_hand,668.3435668945312,753.4823608398438,760.20654296875,716.7689208984375,817.745361328125,630.9713745117188,852.0946655273438,549.1300659179688,886.4199829101562,488.53692626953125,755.5279541015625,499.40911865234375,767.9020385742188,398.2025146484375,775.7589111328125,339.40350341796875,777.9467163085938,289.7995910644531,694.5250854492188,491.9732666015625,698.853759765625,385.3605651855469,708.9537963867188,317.72198486328125,713.5078735351562,259.645263671875,630.4473876953125,507.995361328125,630.4153442382812,402.1212158203125,641.0755615234375,340.0419921875,646.3031616210938,283.8553161621094,571.3758544921875,538.09130859375,554.0167236328125,457.3521423339844,547.3522338867188,408.9902648925781,543.747314453125,360.7586364746094
open_hand,670.5397338867188,750.9298706054688,763.3482055664062,715.3733520507812,822.3990478515625,631.5926513671875,861.172119140625,551.4927368164062,898.2376708984375,491.8353271484375,757.9774169921875,497.6591796875,769.3115844726562,396.5193176269531,775.6294555664062,337.4039306640625,776.858642578125,287.5636901855469,696.9993896484375,490.57061767578125,700.1526489257812,384.64654541015625,709.1886596679688,316.1550598144531,713.3833618164062,257.9586486816406,632.6963500976562,507.16693115234375,631.7825317382812,401.74053955078125,641.61328125,339.292724609375,646.2316284179688,282.9214172363281,573.3479614257812,537.8031005859375,554.6465454101562,457.9922790527344,546.6353759765625,410.1312561035156,542.2020263671875,361.9971618652344
open_hand,669.5051879882812,750.7462158203125,763.1488037109375,713.918701171875,821.6102294921875,629.9369506835938,858.6553344726562,550.7318115234375,894.3294067382812,490.7259826660156,754.8240966796875,495.3688049316406,765.3079833984375,394.2160949707031,770.9317016601562,335.6322326660156,771.324462890625,286.555419921875,693.0577392578125,488.7834167480469,694.9340209960938,382.2779235839844,703.7499389648438,314.3725280761719,707.2735595703125,257.146240234375,628.0037231445312,506.0009765625,625.8697509765625,399.51629638671875,635.6475219726562,338.0157470703125,639.4324951171875,282.1641540527344,568.1514282226562,537.0755615234375,549.3067626953125,457.0393981933594,541.110595703125,409.63177490234375,536.1703491210938,361.8471984863281
open_hand,665.97412109375,758.1696166992188,759.561767578125,720.467529296875,818.3269653320312,635.5994262695312,855.6328735351562,555.6646118164062,891.6339111328125,494.86224365234375,751.26708984375,501.0799560546875,761.5282592773438,398.447021484375,766.8414916992188,339.1376037597656,767.2408447265625,289.7850036621094,689.2510375976562,495.13604736328125,690.8344116210938,386.5115966796875,698.8715209960938,317.8565673828125,702.1116943359375,259.8739318847656,624.3094482421875,512.3139038085938,621.4853515625,404.908935546875,630.3245239257812,342.78369140625,633.759765625,286.1243591308594,564.472412109375,544.885498046875,544.8535766601562,464.35272216796875,536.2100830078125,416.1632385253906,530.9475708007812,367.6276550292969
open_hand,662.8941650390625,767.0015258789062,755.685791015625,729.749267578125,814.9840087890625,644.6990356445312,854.612548828125,563.8632202148438,892.2340087890625,502.30682373046875,748.31640625,508.3998718261719,759.6454467773438,404.3562927246094,765.4580688476562,345.01373291015625,766.3319091796875,296.2167663574219,686.6698608398438,503.1279602050781,689.4151611328125,393.3995666503906,697.3927001953125,324.2414245605469,701.2001953125,265.7663269042969,622.1964721679688,520.1213989257812,619.77197265625,413.12652587890625,628.3851928710938,350.4882507324219,631.9908447265625,293.2610778808594,562.2874145507812,555.0771484375,541.4735107421875,474.56689453125,532.1434936523438,426.1989440917969,526.337646484375,377.31170654296875
