Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.0769E-14,-6.4393E-15,-0.065,0,0,0,11.664,0.13384,4.8454E-17,1.2458E-15,0.13384,-8.1942E-16,0.25194,0,0,0,0,0,0,package://bb8_car_thisone/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bb8_car_thisone/meshes/base_link.STL,,X1-box-3,head/arm,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lazy_susan,2.2204E-16,-2.2204E-16,-0.0081795,0,0,0,0.65546,0.0015976,-2.7952E-21,3.5465E-20,0.0015976,-1.1967E-20,0.0031434,0,0,0,0,0,0,package://bb8_car_thisone/meshes/lazy_susan.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bb8_car_thisone/meshes/lazy_susan.STL,,CHS_ARM_Assembly-1/CHS_ARM_Joint-1;CHS_ARM_Assembly-1/CHS_ARM_ShortArm-1;CHS_ARM_Assembly-1/CHS_ARM_Base-1,head/arm,lazy_susan,lazy_susan,revolute,0,0,0,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
arm,1.2577E-10,0.01,-0.12424,0,0,0,0.072732,0.00032678,1.3614E-10,-1.573E-12,0.00032679,3.3795E-20,3.6454E-06,0,0,0,0,0,0,package://bb8_car_thisone/meshes/arm.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bb8_car_thisone/meshes/arm.STL,,CHS_ARM_LongArm-1,Coordinate System3,hinge,arm,revolute,0,-0.01,0.06,3.1416,0,3.1416,lazy_susan,0,-1,0,0,0,0,0,,,,,,,,
head,0,0,0.0553125000000001,0,0,0,6.72101205835019,0.0379268548229435,8.67361737988404E-19,-6.92009096851191E-20,0.0379268548229435,6.70322517487614E-19,0.0584896074377925,0,0,0,0,0,0,package://bb8_car_thisone/meshes/head.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bb8_car_thisone/meshes/head.STL,,bb8_head-2,Coordinate System1 <bb8_head-2>,z_head <bb8_head-2>,head,revolute,0,0.01,-0.24,3.1416,0,-3.051,arm,0,0,-1,0,0,0,0,,,,,,,,
w1,0,0.01,0,0,0,0,0.15708,0.00010341,-1.4531E-21,-1.9049E-34,0.00019635,-6.4662E-21,0.00010341,0,0,0,0,0,0,package://bb8_car_thisone/meshes/w1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bb8_car_thisone/meshes/w1.STL,,X1-wheel-1,Coordinate System1 <X1-wheel-1>,Axis3 <X1-wheel-1>,w1,revolute,0,-0.2,-0.137,3.1416,0,3.1416,base_link,0,1,0,0,0,0,0,,,,,,,,
w2,-2.2204E-16,0.01,1.1102E-16,0,0,0,0.15708,0.00010341,-3.4253E-21,-4.8148E-35,0.00019635,1.87E-21,0.00010341,0,0,0,0,0,0,package://bb8_car_thisone/meshes/w2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bb8_car_thisone/meshes/w2.STL,,X1-wheel-5,Coordinate System1 <X1-wheel-5>,Axis3 <X1-wheel-5>,w2,revolute,-0.2,0,-0.137,-3.1416,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
w3,2.2204E-16,0.01,1.1102E-16,0,0,0,0.15708,0.00010341,9.5157E-21,1.3241E-34,0.00019635,-7.7579E-21,0.00010341,0,0,0,0,0,0,package://bb8_car_thisone/meshes/w3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bb8_car_thisone/meshes/w3.STL,,X1-wheel-3,Coordinate System1 <X1-wheel-3>,Axis3 <X1-wheel-3>,w3,revolute,0.2,0,-0.137,3.1416,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
w4,1.1102E-16,0.01,1.1102E-16,0,0,0,0.15708,0.00010341,3.0452E-21,-2.8928E-36,0.00019635,3.9664E-21,0.00010341,0,0,0,0,0,0,package://bb8_car_thisone/meshes/w4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bb8_car_thisone/meshes/w4.STL,,X1-wheel-4,Coordinate System1 <X1-wheel-4>,Axis3 <X1-wheel-4>,w4,revolute,0,0.2,-0.137,-3.1416,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
